filename,dimensions,level_count,level_0_dimensions,level_0_downsample,level_1_dimensions,level_1_downsample,level_2_dimensions,level_2_downsample,level_3_dimensions,level_3_downsample
TCGA-55-6975-01Z-00-DX1.2762a872-b1c3-47fd-8ed5-b715a5b20163.svs,"(35492, 33411)",3,"(35492, 33411)",1.0,"(8873, 8352)",4.00017959770115,"(2218, 2088)",16.001620104059782,,
TCGA-99-AA5R-01Z-00-DX1.4DE7FC30-D338-49CE-B8D9-EB0F34A3DD0B.svs,"(51792, 39721)",3,"(51792, 39721)",1.0,"(12948, 9930)",4.000050352467271,"(3237, 2482)",16.00181305398872,,
TCGA-44-7669-01Z-00-DX1.34d0c9ac-d3dc-4a5e-b99c-a8c1c1e120d1.svs,"(37410, 63853)",4,"(37410, 63853)",1.0,"(9352, 15963)",4.000138251432271,"(2338, 3990)",16.00205678867828,"(1169, 1995)",32.00411357735656
TCGA-55-8614-01Z-00-DX1.043DE2B5-A453-4570-8830-99170450658C.svs,"(49880, 41640)",3,"(49880, 41640)",1.0,"(12470, 10410)",4.0,"(3117, 2602)",16.002820564226276,,
TCGA-78-8655-01Z-00-DX1.DC81D146-A4A6-411E-A5DC-C0689A8D445F.svs,"(113288, 86218)",4,"(113288, 86218)",1.0,"(28322, 21554)",4.000046395100677,"(7080, 5388)",16.001492959873165,"(3540, 2694)",32.00298591974633
TCGA-05-4244-01Z-00-DX1.d4ff32cd-38cf-40ea-8213-45c2b100ac01.svs,"(46336, 44288)",3,"(46336, 44288)",1.0,"(11584, 11072)",4.0,"(2896, 2768)",16.0,,
TCGA-78-7156-01Z-00-DX1.9f7c8eb9-73de-49be-a487-e1fd4411b7b5.svs,"(84413, 71342)",4,"(84413, 71342)",1.0,"(21103, 17835)",4.00007976283996,"(5275, 4458)",16.002802438345036,"(2637, 2229)",32.00863909444794
TCGA-86-7714-01Z-00-DX1.8ee03c3b-013e-4dd5-aa0e-9c1a771cbdc5.svs,"(64269, 71684)",4,"(64269, 71684)",1.0,"(16067, 17921)",4.000031119686314,"(4016, 4480)",16.002064954467844,"(2008, 2240)",32.00412990893569
TCGA-69-8253-01Z-00-DX1.631c741f-46bd-4d4b-8f6c-64787fb4c402.svs,"(61391, 70645)",4,"(61391, 70645)",1.0,"(15347, 17661)",4.000126049939455,"(3836, 4415)",16.002521413042324,"(1918, 2207)",32.00866791274139
TCGA-86-8668-01Z-00-DX1.d720d486-02c7-4f98-8feb-e0e50a12c158.svs,"(85372, 83012)",4,"(85372, 83012)",1.0,"(21343, 20753)",4.0,"(5335, 5188)",16.001510153558893,"(2667, 2594)",32.00602035385515
